Report,Critical,High,Medium,Low,CPEs,Test
PSY403-002_2025-06-20_13-07-41,88,295,97,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:word:2013, , ",
fsf101-001-0423,13,201,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
law120-015,12,195,54,2,"microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
PSY408-01_2025-06-07_14-22-10,24,229,99,6,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, r:r_for_windows, tortoisegit:tortoisegit, , ",
LAW117-001_2025-06-02_13-23-00,18,219,97,6,"7-zip, adobe:acrobat_dc:::continuous, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, zoom:zoom:individual_users_install, , ",
PSY426-006_2025-06-07_15-46-42,76,109,94,7,"7-zip, inkscape:inkscape, microsoft:webp_image, mozilla:firefox, r:r_for_windows, winrar, videolan:vlc_media_player, , ",
fsf101-003-0423,13,201,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
PSY426-017_2025-06-07_15-40-18,40,70,42,3,"7-zip, adobe:acrobat_dc:::continuous, microsoft:webp_image, mozilla:firefox, r:r_for_windows, , ",
FSF101-020-0423_2025-05-31_14-42-18,13,201,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
LAW120-005_2025-05-24_12-48-24,37,232,101,5,"microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , , ",
LAW214A-00001_2025-05-24_11-11-01,16,196,62,3,"microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, , ",
FSF310-0001_2025-06-07_12-47-03,12,201,59,2,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
LAW122-000009,79,268,83,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:powerpoint:2013, microsoft:webp_image, microsoft:word:2013, , ",
PSY426-018_2025-06-07_15-40-57,43,75,49,4,"7-zip, inkscape:inkscape, microsoft:webp_image, mozilla:firefox, r:r_for_windows, winrar, videolan:vlc_media_player, , ",
LAW122-000011_2025-05-24_13-03-22,88,296,97,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
PSY408-15_2025-06-07_14-09-50,45,275,184,8,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, r:r_for_windows, tortoisegit:tortoisegit, , , ",
PSY418-14_2025-06-07_14-09-00,24,229,99,6,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, r:r_for_windows, tortoisegit:tortoisegit, , ",
FSF313-001_2025-06-07_12-34-22,15,222,78,6,"7-zip, adobe:acrobat_dc:::continuous, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
FSF311-0002_2025-06-02_13-58-57,14,245,76,7,"7-zip, adobe:acrobat_dc:::continuous, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
FSF303-004_2025-06-07_12-01-00,93,302,99,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, winrar, , ",
LAW210-005_2025-06-02_14-15-21,257,594,352,17,"7-zip, adobe:acrobat_dc:::continuous, adobe:flash_player, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, , ",
LAW004-006_2025-06-14_11-46-05,95,310,106,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, oracle:jre:1.8.0, , ",
law122-000001,79,268,83,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:powerpoint:2013, microsoft:webp_image, microsoft:word:2013, , ",
LAW210-004_2025-06-02_14-12-13,88,298,98,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
law120-014,12,195,54,2,"microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
PSY410-001_2025-06-07_13-29-08,88,296,100,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
LAW012-002_2025-06-14_10-44-03,112,345,162,17,"foxit:reader, microsoft:edge, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, oracle:jre:1.8.0, , , ",
LAW012-004_2025-06-14_10-50-09,108,348,163,17,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, windows_defender, microsoft:word:2013, oracle:jre:1.8.0, , , ",
LAW114-001_2025-06-07_11-23-43,14,201,56,2,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
FSF314-001_2025-06-14_12-33-33,88,298,98,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
LAW008-001_2025-06-14_12-08-40,95,315,116,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, windows_defender, microsoft:word:2013, , , ",
LAW107-002_2025-05-31_16-21-27,100,324,117,15,"foxit:reader, microsoft:edge, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, windows_defender, microsoft:word:2013, winrar, , , ",
fsf101-006-0423,13,201,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
LAW214A-00002_2025-06-02_12-21-09,16,200,63,3,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, , ",
LAW121-001_2025-06-07_11-57-40,93,300,98,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, winrar, , ",
PSY403-001_2025-06-20_13-10-36,167,75,54,1,"7-zip, adobe:flash_player, adobe:flash_player:10, winrar, videolan:vlc_media_player, , ",
PSY535-001_2025-06-14_11-35-17,31,220,87,4,"microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
law122-00012,94,308,111,16,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , , ",
PSY426-005_2025-06-07_15-52-41,21,91,140,53,"microsoft:webp_image, nvidia:geforce_experience, r:r_for_windows, simon_tatham:putty, videolan:vlc_media_player, , , ",
law122-000006,62,83,12,10,"foxit:reader, microsoft:webp_image, winrar, , ",
PSY411-004_2025-06-07_13-50-39,108,344,169,12,"adobe:acrobat_dc:::continuous, git, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, r:r_for_windows, tortoisegit:tortoisegit, , ",
fsf101-007-0423,13,201,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
PSY401-001-1024_2025-06-07_14-44-59,6,28,21,1,"7-zip, adobe:acrobat_dc:::continuous, google:pepper_flash, microsoft:webp_image, , ",
LAW214-010_2025-06-02_14-06-50,257,589,350,17,"7-zip, adobe:flash_player, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, , ",
PSY420-002_2025-06-07_15-13-14,108,343,171,15,"foxit:reader, microsoft:edge, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , , ",
FSF310-0007_2025-06-07_12-49-24,73,296,230,6,"7-zip, microsoft:.net_framework:4.8.1, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
PSY022-001_2025-06-14_12-06-19,93,300,98,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, winrar, , ",
LAW014-001_2025-06-14_12-19-55,91,308,106,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
PSY411-005_2025-06-07_13-46-44,13,201,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
PSY023-002_2025-06-14_12-11-31,31,222,88,4,"microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
psy408-05,24,229,99,6,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, r:r_for_windows, tortoisegit:tortoisegit, , ",
FSF101-016-0423_2025-05-31_14-35-22,19,213,70,6,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
LAW120-011_2025-05-24_11-56-17,18,207,68,3,"microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
law122-000002,62,83,12,11,"foxit:reader, microsoft:webp_image, winrar, , ",
PSY412-002-1124_2025-06-07_14-26-37,191,472,266,26,"foxit:reader, git, microsoft:edge, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, r:r_for_windows, tortoisegit:tortoisegit, , , ",
LAW122-000010_2025-05-24_13-00-14,79,268,83,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:powerpoint:2013, microsoft:webp_image, microsoft:word:2013, , ",
PSY426-007_2025-06-07_15-56-02,6,16,15,1,"microsoft:malicious_software_removal_tool, microsoft:webp_image, , , ",
FSF101-021-0423_2025-05-31_14-47-04,19,213,70,5,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
LAW004-003_2025-06-14_11-36-04,95,310,106,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, oracle:jre:1.8.0, , ",
LAW004-008_2025-06-14_11-47-58,95,310,106,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, oracle:jre:1.8.0, , ",
PSY408-12_2025-06-07_14-20-56,24,229,99,6,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, r:r_for_windows, tortoisegit:tortoisegit, , ",
FSF310-0002_2025-06-07_13-00-55,18,216,70,3,"7-zip, microsoft:edge, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
LAW210-002_2025-06-02_14-35-11,21,222,89,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
FSF302-003_2025-06-07_13-00-25,89,303,102,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, windows_defender, microsoft:word:2013, , ",
LAW-000016_2025-05-24_13-16-16,88,296,97,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
FSF307-001_2025-05-28_14-28-40,263,600,365,18,"7-zip, adobe:flash_player, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, , , ",
LAW012-003_2025-06-14_10-46-58,112,347,163,17,"foxit:reader, microsoft:edge, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, oracle:jre:1.8.0, , , ",
PSY408-13_2025-06-07_14-15-00,24,229,99,6,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, r:r_for_windows, tortoisegit:tortoisegit, , ",
FSF300-003_2025-06-07_11-59-08,89,303,102,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, windows_defender, microsoft:word:2013, , ",
FSF300-002_2025-06-07_12-07-46,13,208,74,3,"microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
FSF101-014-0423_2025-05-31_14-39-33,258,498,520,19,"7-zip, microsoft:.net_framework:4.8.1, microsoft:edge, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
FSF302-001_2025-06-07_12-31-26,94,309,105,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, windows_defender, microsoft:word:2013, winrar, , ",
PSY424-002_2025-06-07_15-04-33,218,546,545,23,"foxit:reader, microsoft:.net_framework:4.8.1, microsoft:edge, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:word:2013, , , ",
LAW010-001_2025-06-14_12-07-34,100,312,106,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, oracle:jre:1.8.0, winrar, , ",
LAW012-008_2025-06-14_11-06-32,107,341,158,18,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, oracle:jre:1.8.0, , , ",
LAW117-002_2025-06-02_14-33-33,14,201,56,2,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
LAW120-007_2025-05-24_12-09-44,12,195,54,2,"microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
LAW211-001_2025-06-07_12-10-32,37,232,101,5,"microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , , ",
UI205-003_2025-06-02_13-13-06,43,274,136,6,"7-zip, adobe:acrobat_dc:::continuous, microsoft:3d_builder, microsoft:edge, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
PSY414-001-0523_2025-06-07_14-29-28,116,341,171,14,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, r:r_for_windows, tortoisegit:tortoisegit, , , ",
PSY408-019_2025-06-07_14-05-29,88,298,98,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
LAW207-001_2025-06-02_13-37-50,257,591,372,18,"7-zip, adobe:flash_player, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, zoom:zoom:individual_users_install, , ",
FSF101-017-0423_2025-05-31_14-35-57,13,201,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
FSF307-000003_2025-05-28_14-04-01,12,195,54,2,"microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
LAW120-006_2025-05-24_12-01-05,12,195,54,2,"microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
law120-016,6,15,15,1,"microsoft:webp_image, , , ",
PSY408-17_2025-06-07_14-07-19,24,229,99,6,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, r:r_for_windows, tortoisegit:tortoisegit, , ",
LAW203-0002_2025-06-02_12-40-34,13,198,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:word:2010, microsoft:word:2010:sp1, , ",
FSF303-001_2025-06-07_12-13-00,16,218,74,3,"7-zip, adobe:acrobat_dc:::continuous, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
LAW112-001_2025-06-02_12-58-55,257,592,351,17,"7-zip, adobe:acrobat_dc:::continuous, adobe:flash_player, microsoft:excel:2010, microsoft:office:2010, microsoft:powerpoint:2010, microsoft:visual_c++:2010, microsoft:webp_image, microsoft:word:2010, mozilla:firefox, , ",
fsf101-002-0423,13,201,56,5,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
LAW208-002_2025-06-02_13-26-31,95,315,116,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, windows_defender, microsoft:word:2013, , , ",
Law103-001,12,195,54,2,"microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
FSF310-0003_2025-06-07_12-59-10,73,296,230,6,"7-zip, microsoft:.net_framework:4.8.1, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
PSY419-003-0423_2025-06-07_15-09-01,16,208,87,6,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, zoom:zoom:individual_users_install, , ",
PSY422-004_2025-06-07_14-40-33,88,298,98,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
LAW212-NEW3-001_2025-06-07_11-54-12,13,200,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
FSF302-002_2025-06-07_12-34-43,93,302,99,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, winrar, , ",
PSY408-08_2025-06-07_14-06-49,24,230,99,6,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, r:r_for_windows, tortoisegit:tortoisegit, , ",
PSY420-0001-102_2025-06-07_14-34-45,112,346,168,13,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:visual_c++:2005, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, r:r_for_windows, tortoisegit:tortoisegit, , ",
PSY413-003-0423_2025-06-07_15-11-32,112,345,168,14,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, r:r_for_windows, tortoisegit:tortoisegit, , ",
PSY015-002_2025-06-14_12-42-30,88,298,98,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
fsf101-005-0423,13,201,56,5,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
PSY408-18_2025-06-07_14-05-37,64,548,523,21,"adobe:shockwave_flash_activex, git, microsoft:.net_framework:4.8, microsoft:excel:2010, microsoft:ie:11, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, r:r_for_windows, tortoisegit:tortoisegit, , _10:2004::x64, ",
LAW004-001_2025-06-14_12-05-37,95,310,106,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, oracle:jre:1.8.0, , ",
